,AS/1,AS/1/LABEL,AS/1/ID,AS/2,AS/2/LABEL,AS/2/ID,AS/3,AS/3/LABEL,AS/3/ID,AS/4,AS/4/LABEL,AS/4/ID,AS/5,AS/5/LABEL,AS/5/ID,AS/6,AS/6/LABEL,AS/6/ID,AS/7,AS/7/LABEL,AS/7/ID,CT/1,CT/1/LABEL,CT/1/ID,CT/1/NOTES,CT/2,CT/2/LABEL,CT/2/ID,CT/3,CT/3/LABEL,CT/3/ID,All Gene Biomarkers,BGene/1,BGene/1/LABEL,BGene/1/ID,BGene/2,BGene/2/LABEL,BGene/2/ID,BGene/3,BGene/3/LABEL,BGene/3/ID,BGene/4,BGene/4/LABEL,BGene/4/ID,BGene/5,BGene/5/LABEL,BGene/5/ID,BGene/6,BGene/6/LABEL,BGene/6/ID,FTU/1,FTU/1/LABEL,FTU/1/ID,REF/1,REF/1/DOI,REF/1/NOTES,REF/2,REF/2/DOI,REF/2/NOTES
20,brain,brain,UBERON:0000955,forebrain (prosencephalon),forebrain,UBERON:0001890,gray matter of forebrain,gray matter of forebrain,UBERON:0019264,cerebral cortex,cerebral cortex,UBERON:0000956,frontal lobe,frontal lobe,UBERON:0016525,precentral gyrus,precentral gyrus,UBERON:0002703,Primary motor cortex,Primary motor cortex,UBERON:0001384,Inh L1-3 VIP HSPB6,,,Being added to Brain Standards Ontology,,,,,,,"CCNG2, IGFBP5",CCNG2,cyclin G2,HGNC:1593,IGFBP5,,,,,,,,,,,,,,,,,,,,,,,
21,brain,brain,UBERON:0000955,forebrain (prosencephalon),forebrain,UBERON:0001890,gray matter of forebrain,gray matter of forebrain,UBERON:0019264,cerebral cortex,cerebral cortex,UBERON:0000956,frontal lobe,frontal lobe,UBERON:0016525,precentral gyrus,precentral gyrus,UBERON:0002703,Primary motor cortex,Primary motor cortex,UBERON:0001384,Inh L1-2 VIP PTGER3,,,Being added to Brain Standards Ontology,,,,,,,"KCNH8, PARD3B, SYT10",KCNH8,potassium voltage-gated channel subfamily H member 8,HGNC:18864,PARD3B,,,SYT10,,,,,,,,,,,,,,,,,,,,
22,brain,brain,UBERON:0000955,forebrain (prosencephalon),forebrain,UBERON:0001890,gray matter of forebrain,gray matter of forebrain,UBERON:0019264,cerebral cortex,cerebral cortex,UBERON:0000956,frontal lobe,frontal lobe,UBERON:0016525,precentral gyrus,precentral gyrus,UBERON:0002703,Primary motor cortex,Primary motor cortex,UBERON:0001384,Inh L1-2 VIP SCML4,,,Being added to Brain Standards Ontology,,,,,,,"ABI3BP, KCNH8, LOC100506497",ABI3BP,ABI family member 3 binding protein,HGNC:17265,KCNH8,,,LOC100506497,,,,,,,,,,,,,,,,,,,,
23,brain,brain,UBERON:0000955,forebrain (prosencephalon),forebrain,UBERON:0001890,gray matter of forebrain,gray matter of forebrain,UBERON:0019264,cerebral cortex,cerebral cortex,UBERON:0000956,frontal lobe,frontal lobe,UBERON:0016525,precentral gyrus,precentral gyrus,UBERON:0002703,Primary motor cortex,Primary motor cortex,UBERON:0001384,Inh L1-3 VIP FNDC1,,,Being added to Brain Standards Ontology,,,,,,,"KCNH8, LOC101927286, LOC101928842",KCNH8,potassium voltage-gated channel subfamily H member 8,HGNC:18864,LOC101927286,,,LOC101928842,,,,,,,,,,,,,,,,,,,,
24,brain,brain,UBERON:0000955,forebrain (prosencephalon),forebrain,UBERON:0001890,gray matter of forebrain,gray matter of forebrain,UBERON:0019264,cerebral cortex,cerebral cortex,UBERON:0000956,frontal lobe,frontal lobe,UBERON:0016525,precentral gyrus,precentral gyrus,UBERON:0002703,Primary motor cortex,Primary motor cortex,UBERON:0001384,Inh L1-3 VIP CHRNA2,,,Being added to Brain Standards Ontology,,,,,,,"EYA4, LOC105373642, PPP1R1C",EYA4,EYA transcriptional coactivator and phosphatase 4,HGNC:3522,LOC105373642,,,PPP1R1C,,,,,,,,,,,,,,,,,,,,
25,brain,brain,UBERON:0000955,forebrain (prosencephalon),forebrain,UBERON:0001890,gray matter of forebrain,gray matter of forebrain,UBERON:0019264,cerebral cortex,cerebral cortex,UBERON:0000956,frontal lobe,frontal lobe,UBERON:0016525,precentral gyrus,precentral gyrus,UBERON:0002703,Primary motor cortex,Primary motor cortex,UBERON:0001384,Inh L2 VIP SLC6A16,,,Being added to Brain Standards Ontology,,,,,,,"KCNT2, LOC105370456",KCNT2,potassium sodium-activated channel subfamily T member 2,HGNC:18866,LOC105370456,,,,,,,,,,,,,,,,,,,,,,,
26,brain,brain,UBERON:0000955,forebrain (prosencephalon),forebrain,UBERON:0001890,gray matter of forebrain,gray matter of forebrain,UBERON:0019264,cerebral cortex,cerebral cortex,UBERON:0000956,frontal lobe,frontal lobe,UBERON:0016525,precentral gyrus,precentral gyrus,UBERON:0002703,Primary motor cortex,Primary motor cortex,UBERON:0001384,Inh L1 VIP KLHDC8B,,,Being added to Brain Standards Ontology,,,,,,,"ITGBL1, SLITRK4",ITGBL1,integrin subunit beta like 1,HGNC:6164,SLITRK4,,,,,,,,,,,,,,,,,,,,,,,
27,brain,brain,UBERON:0000955,forebrain (prosencephalon),forebrain,UBERON:0001890,gray matter of forebrain,gray matter of forebrain,UBERON:0019264,cerebral cortex,cerebral cortex,UBERON:0000956,frontal lobe,frontal lobe,UBERON:0016525,precentral gyrus,precentral gyrus,UBERON:0002703,Primary motor cortex,Primary motor cortex,UBERON:0001384,Inh L3-5 VIP IGDCC3,,,Being added to Brain Standards Ontology,,,,,,,"EREG, NOX4",EREG,epiregulin,HGNC:3443,NOX4,,,,,,,,,,,,,,,,,,,,,,,
28,brain,brain,UBERON:0000955,forebrain (prosencephalon),forebrain,UBERON:0001890,gray matter of forebrain,gray matter of forebrain,UBERON:0019264,cerebral cortex,cerebral cortex,UBERON:0000956,frontal lobe,frontal lobe,UBERON:0016525,precentral gyrus,precentral gyrus,UBERON:0002703,Primary motor cortex,Primary motor cortex,UBERON:0001384,Inh L1-5 VIP SMOC1,,,Being added to Brain Standards Ontology,,,,,,,"ANGPT1, SMOC1, VIP",ANGPT1,angiopoietin 1,HGNC:484,SMOC1,,,VIP,,,,,,,,,,,,,,,,,,,,
29,brain,brain,UBERON:0000955,forebrain (prosencephalon),forebrain,UBERON:0001890,gray matter of forebrain,gray matter of forebrain,UBERON:0019264,cerebral cortex,cerebral cortex,UBERON:0000956,frontal lobe,frontal lobe,UBERON:0016525,precentral gyrus,precentral gyrus,UBERON:0002703,Primary motor cortex,Primary motor cortex,UBERON:0001384,Inh L3-5 VIP HS3ST3A1,,,Being added to Brain Standards Ontology,,,,,,,"ABI3BP, IQGAP2, SLC22A3",ABI3BP,ABI family member 3 binding protein,HGNC:17265,IQGAP2,,,SLC22A3,,,,,,,,,,,,,,,,,,,,
30,brain,brain,UBERON:0000955,forebrain (prosencephalon),forebrain,UBERON:0001890,gray matter of forebrain,gray matter of forebrain,UBERON:0019264,cerebral cortex,cerebral cortex,UBERON:0000956,frontal lobe,frontal lobe,UBERON:0016525,precentral gyrus,precentral gyrus,UBERON:0002703,Primary motor cortex,Primary motor cortex,UBERON:0001384,Inh L5-6 VIP COL4A3,,,Being added to Brain Standards Ontology,,,,,,,"ABI3BP, KCTD12, PARD3B",ABI3BP,ABI family member 3 binding protein,HGNC:17265,KCTD12,,,PARD3B,,,,,,,,,,,,,,,,,,,,
31,brain,brain,UBERON:0000955,forebrain (prosencephalon),forebrain,UBERON:0001890,gray matter of forebrain,gray matter of forebrain,UBERON:0019264,cerebral cortex,cerebral cortex,UBERON:0000956,frontal lobe,frontal lobe,UBERON:0016525,precentral gyrus,precentral gyrus,UBERON:0002703,Primary motor cortex,Primary motor cortex,UBERON:0001384,Inh L1-5 VIP CD27-AS1,,,Being added to Brain Standards Ontology,,,,,,,"ANKFN1, EGFEM1P, IQGAP2",ANKFN1,ankyrin repeat and fibronectin type III domain containing 1,HGNC:26766,EGFEM1P,,,IQGAP2,,,,,,,,,,,,,,,,,,,,
32,brain,brain,UBERON:0000955,forebrain (prosencephalon),forebrain,UBERON:0001890,gray matter of forebrain,gray matter of forebrain,UBERON:0019264,cerebral cortex,cerebral cortex,UBERON:0000956,frontal lobe,frontal lobe,UBERON:0016525,precentral gyrus,precentral gyrus,UBERON:0002703,Primary motor cortex,Primary motor cortex,UBERON:0001384,Inh L2-5 VIP BSPRY,,,Being added to Brain Standards Ontology,,,,,,,"LOC101927078, PDE3A, ST18",LOC101927078,,,PDE3A,,,ST18,,,,,,,,,,,,,,,,,,,,
33,brain,brain,UBERON:0000955,forebrain (prosencephalon),forebrain,UBERON:0001890,gray matter of forebrain,gray matter of forebrain,UBERON:0019264,cerebral cortex,cerebral cortex,UBERON:0000956,frontal lobe,frontal lobe,UBERON:0016525,precentral gyrus,precentral gyrus,UBERON:0002703,Primary motor cortex,Primary motor cortex,UBERON:0001384,Inh L2-5 VIP SOX11,,,Being added to Brain Standards Ontology,,,,,,,"ADAMTSL1, HTR2C, THSD7B",ADAMTSL1,ADAMTS like 1,HGNC:14632,HTR2C,,,THSD7B,,,,,,,,,,,,,,,,,,,,
